"apgcode","occurrences"
"xs21_69b8b96zw696","3349746"
"xs21_699e0okczw653","2886361"
"xs21_4a9m88gzcia521","1840438"
"xs21_39u0ehrz321","1385128"
"xs21_gbb8b96z11w33","1218136"
"xs21_6a88bbgzw255d","1106101"
"xs21_04s0ci53zc97011","1034372"
"xs21_oe1v0rrz011","871446"
"xs21_mmge996z1243","819317"
"xs21_g88rbgn96z11","817863"
"xs21_69b88a6z033033","803594"
"xs21_69acz6511d96","750249"
"xs21_gbbo7picz11","737339"
"xs21_c88mlicz3543","704224"
"xs21_03lkkl3zc96w1","657469"
"xs21_o8b9aczx359a4","625434"
"xs21_0mmgu156z346","616873"
"xs21_2lla8cz643033","611851"
"xs21_69ak8gzcie1221","431937"
"xs21_354m88gzcia521","418821"
"xs21_255m88gzcia521","396299"
"xs21_699eg8oz0359c","393716"
"xs21_c8a52z355d96","373575"
"xs21_0mlhe0e96z32","370363"
"xs21_354mgmiczw346","347333"
"xs21_0g8e1eoz6b871","345511"
"xs21_8o6p3qicz0123","340924"
"xs21_ca1t2sgz3543","338391"
"xs21_2llmz12269ic","333848"
"xs21_0ca96z6511d96","325976"
"xs21_3lkmk46z32w23","323686"
"xs21_69b8bbgzw6511","301223"
"xs21_oo0e9jz6a871","299556"
"xs21_0iu0ep3z34611","262581"
"xs21_c88bbgz311dd","262362"
"xs21_69b8brz2552","258624"
"xs21_69b8bb8ozx33","252469"
"xs21_0cc0si96z6953","243529"
"xs21_0ggciqb96z343","211381"
"xs21_6996kk8z6953","205648"
"xs21_0259acz6513156","188782"
"xs21_8e1t2sgz3543","179893"
"xs21_39eg88gzcia521","166276"
"xs21_0ca96z69d1156","151124"
"xs21_3lkkl3z32w252","138645"
"xs21_g88e1ege1e8z11","138485"
"xs21_69ab8b96zx33","128399"
"xs21_xrhe0e96z253","112961"
"xs21_69acz69d1156","112334"
"xs21_4aabaa4z6953","111410"
"xs21_0mlhu0ooz346","110850"
"xs21_ca9d2sgz02553","104190"
"xs21_0mlhu066z346","104025"
"xs21_4a9baa4z6953","101780"
"xs21_69baik8z2553","101171"
"xs21_4a9b8b96zw253","96541"
"xs21_xrhe0eicz253","95660"
"xs21_2lligz12ege3","93874"
"xs21_69ak8gzx122dik8","90418"
"xs21_ca9b8oz359a4","88378"
"xs21_356o8gzy023ciic","88043"
"xs21_69mgmicz04aa4","84744"
"xs21_0mmgml3z346w1","83795"
"xs21_2llmz3ege3","83515"
"xs21_259egmiczw643","81698"
"xs21_6996z65115ak8","81052"
"xs21_ad1e8gz5b871","80881"
"xs21_4aab88gz255d11","79488"
"xs21_69b8f1e8z033","78508"
"xs21_ca9b8brzw33","77716"
"xs21_3hu0o4ozc87011","76061"
"xs21_gbb8b96z1253","75807"
"xs21_35a8c4oz069d11","71187"
"xs21_03lkkl3z696w1","70920"
"xs21_69ic0c4ozxdd11","70346"
"xs21_069iczciq22ac","69451"
"xs21_4a9baa4z033033","66904"
"xs21_69b8brz653","66873"
"xs21_0gill2z32w69ic","65633"
"xs21_354km453zw3443","63511"
"xs21_6is0si96z643","59100"
"xs21_bd0mkk8z3543","58800"
"xs21_3lkmioz122ac","55838"
"xs21_0mlhe0eicz32","55703"
"xs21_xml1egoz66074","55421"
"xs21_mkkmhrz1246","54387"
"xs21_cimgm96z4aa4","54274"
"xs21_39mgmicz04aa4","53543"
"xs21_xj1u066z69d11","50003"
"xs21_g88ci96z19ll8","48175"
"xs21_8e1daz311d96","48089"
"xs21_xm2s079cz4a611","47967"
"xs21_4aabaa4z033033","45698"
"xs21_3lmgmmz346w1","44102"
"xs21_gj1u0ooz11078c","43624"
"xs21_6a88brz6996","43412"
"xs21_j1u0uiz11w346","42344"
"xs21_4a9egmiczw652","42181"
"xs21_ca9bojdz33","41887"
"xs21_mlhe0ehrz1","41794"
"xs21_69acz69d553","41669"
"xs21_69b88gzciq321","41582"
"xs21_0ggml3z32w69ic","41575"
"xs21_256o8gzx6430eic","41158"
"xs21_069b871z4a953","40622"
"xs21_4a9b8b96zx352","40236"
"xs21_wgj1u0og4cz25421","39880"
"xs21_ciiriiczw4ac","39520"
"xs21_0mlhe0e93z32","38983"
"xs21_178b96z4a953","38194"
"xs21_ca9lmz330343","38186"
"xs21_g8e1t6z19ld","38000"
"xs21_cimgm952z06a4","37828"
"xs21_3pmz4aaq2sg","37118"
"xs21_256o8gzx6430eio","36676"
"xs21_3lkm96z320123","36569"
"xs21_651u08kk8zw39c","36542"
"xs21_j1u0mmz11w346","36335"
"xs21_256o8gzxol54ko","35044"
"xs21_ca9e0eik8z33","34919"
"xs21_69b8b9czw2552","34868"
"xs21_3lmggz1qaa43","34411"
"xs21_178b96zx65156","34272"
"xs21_xrhe0eioz253","34257"
"xs21_6t1e88gzwdd11","34253"
"xs21_xrhe0e93z253","34094"
"xs21_g8g0gbdz12pgf2","33372"
"xs21_rr0v9zx34a4","33210"
"xs21_4ac0si96z2553","32771"
"xs21_4s3pcz11078a6","32597"
"xs21_4a60uhbqic","32582"
"xs21_gbbo79icz0121","32288"
"xs21_g88bbgz1qq321","32206"
"xs21_256o8g0si6zx643","32062"
