"apgcode","occurrences"
"xs21_259e0ehu0oo","31876"
"xs21_0g6p7ob96z121","31787"
"xs21_069acz355d96","31184"
"xs21_0gjl46z32023ck8","30971"
"xs21_g88r3ob96z121","30585"
"xs21_c88b96z330f9","30249"
"xs21_0ml1eoz320f9","30142"
"xs21_gbaab96z11w33","29707"
"xs21_255mgmiczw346","29664"
"xs21_39e0o4oz259701","29613"
"xs21_4aab8ob96zx32","29247"
"xs21_rq1t6zx3453","28637"
"xs21_caarz3303453","28619"
"xs21_6t1e8zwdd113","28432"
"xs21_259e0ehu066","28183"
"xs21_35ic0c4ozxdd11","27084"
"xs21_xc9bqicz6513","26610"
"xs21_xj1u0ooz69d11","26285"
"xs21_2lm0e93zw3453","25956"
"xs21_69ic0c4ozx11dd","25639"
"xs21_256o8gzx643si6","25479"
"xs21_2lligz1qaa43","25349"
"xs21_4aab9a4z6953","25329"
"xs21_2lligz32w69ic","25237"
"xs21_256o8g0siczx643","24694"
"xs21_39e0o4czc97011","24655"
"xs21_3hu0o4czc87011","24578"
"xs21_3lkkl3z32w65","24176"
"xs21_0696z355ll2zx11","24168"
"xs21_035s26z3543033","23871"
"xs21_g88bbgz122rq1","23765"
"xs21_025a8cz69d1156","22922"
"xs21_04aab871zca53","21637"
"xs21_039u0e96z6521","21221"
"xs21_caab8brzw33","21035"
"xs21_062s0si52z3543","20811"
"xs21_4a960u1u066zy21","20737"
"xs21_69a4z6511dik8","20625"
"xs21_gbb8bq23z123","20481"
"xs21_0cc0ci96z69d11","20319"
"xs21_4a960u1u0oozy21","20310"
"xs21_0178b96z65156","20304"
"xs21_69icwck8zxdd11","20103"
"xs21_252s0sicz3543","19830"
"xs21_0g6p3sj96z121","19517"
"xs21_354pb8r9a4","19450"
"xs21_0178brz69d11","18568"
"xs21_5b8b96z6996","18568"
"xs21_rahv0rr","18247"
"xs21_0mll2z122dkk8","17889"
"xs21_o81v0rrz0123","17814"
"xs21_3lkiegoz3443","17763"
"xs21_0ca96z255d952","17679"
"xs21_0db8b96z2553","17357"
"xs21_651u0ok8zw178c","17303"
"xs21_256o8geiozx643","17035"
"xs21_651u0oozwdjo","17009"
"xs21_gbbo3qicz121","17007"
"xs21_cimgm96zca6","16987"
"xs21_g8e1t6zdl91","16979"
"xs21_04a9mge2z4aa43","16706"
"xs21_69b88gzx321eic","16704"
"xs21_651u0e96z2521","16450"
"xs21_ad1mkk8z3543","16373"
"xs21_69ngn96z321","16325"
"xs21_0cc0si53z6953","16163"
"xs21_259e0ehf033","15967"
"xs21_8e1t6zw6b871","15832"
"xs21_39u0o4oz0c9611","15706"
"xs21_0ggm96z12462ako","15579"
"xs21_69mgmiczw6ac","15509"
"xs21_0caakl3z651221","15405"
"xs21_6t168ozw1134ac","15347"
"xs21_39eg8gzx122dik8","15346"
"xs21_g88b96z178jd","15313"
"xs21_ml1e8z107996","15258"
"xs21_4aab8b96zx352","15183"
"xs21_25960u1u066zy21","15036"
"xs21_25960u1u0oozy21","14952"
"xs21_6a8c88brzw253","14875"
"xs21_cimgm93z4aa4","14701"
"xs21_0mmgehrz1243","14669"
"xs21_g88bbgz11dl91","14646"
"xs21_03lk453zo9a43","14463"
"xs21_g88bbgz123qq1","14201"
"xs21_g88m952zdll8","14107"
"xs21_39e0ehraa4","13732"
"xs21_03lkkl3zc45201","13442"
"xs21_08e1mkicz25521","13340"
"xs21_0ml1uge2z643","13325"
"xs21_069b871z359a4","13247"
"xs21_6952s0s2596zy11","13164"
"xs21_og88brz6a871","13138"
"xs21_69egmicz4a43","13093"
"xs21_2lligkcz32w66","13057"
"xs21_4amgehrz0643","13010"
"xs21_35aczcid1156","12823"
"xs21_354m88b96zx123","12751"
"xs21_3lk453z34a9o","12637"
"xs21_39eg88b96zx123","12624"
"xs21_0ca9lmz6511023","12522"
"xs21_259q3q952zx121","12511"
"xs21_39e0o4ozc97011","12290"
"xs21_2lmgeik8z01243","12264"
"xs21_g88r3on96z11","12225"
"xs21_256o8gzx8e1eic","12148"
"xs21_069iczca22qic","12112"
"xs21_c4o1vg33z643","12068"
"xs21_069b88a6z4a513","12013"
"xs21_259aczx69d1e8","11972"
"xs21_2lmgeicz3443","11895"
"xs21_39e0u2sgzw643","11887"
"xs21_0354m93z9f032","11772"
"xs21_4aab871z6996","11707"
"xs21_04a9mge2zca243","11629"
"xs21_69acz651164ko","11596"
"xs21_259mgmiczx6a4","11554"
"xs21_69baik8z0354c","11382"
"xs21_0mligoz34606a4","11374"
"xs21_xdbzo4id1156z01","11294"
"xs21_0697ob96z6421","11258"
"xs21_69bo8go8br","11174"
"xs21_2596o696zx39c","11145"
"xs21_699egmiczw252","11145"
"xs21_6996z6511dic","11126"
"xs21_35a8c8a6zw3552","11004"
"xs21_0cc0s2qrz6511","10959"
"xs21_178b96z359a4","10884"
"xs21_0696z3ll552z011","10768"
"xs21_3iabaarz0123","10688"
"xs21_3lmgmicz01w66","10586"
"xs21_69b8brz0356","10563"
"xs21_0caab871z2553","10537"
"xs21_c9baacz33w33","10513"
"xs21_39e0oka4z2553","10484"
"xs21_69fgbrz0643","10473"
"xs21_0gbbo3qicz121","10470"
"xs21_0ggm453z3ege3","10371"
"xs21_g88ml96zd543","10237"
"xs21_06996z355d93","10219"
"xs21_c97o4koz3543","9991"
"xs21_6996z695d96","9904"
"xs21_0mlhe853z3421","9860"
"xs21_c88bbgz358gp1","9821"
"xs21_mmge1fgkcz1","9736"
"xs21_8e1t2koz3543","9735"
"xs21_69mgmicz0ca6","9722"
"xs21_0mmgmk13z346w1","9677"
"xs21_651u0ok8z3543","9657"
"xs21_0ggmligkcz346w1","9391"
"xs21_069baiczc8711","9304"
"xs21_69baik8z6513","9297"
"xs21_0312kozgs2qaa4","9197"
"xs21_mkkl3z122696","9170"
"xs21_8e1v0rrzw23","9169"
"xs21_0696k4oz8kid11","9165"
"xs21_0mlhege2z1243","9143"
"xs21_08e1qczc970123","9139"
"xs21_696k4ozcil91","9110"
"xs21_4aab8b96zw253","9080"
"xs21_g88m952z123cic","9068"
"xs21_g08o652z1pl4ko","9064"
"xs21_69f0fho8a6","8964"
"xs21_256o8gzy0230ehr","8930"
"xs21_0ckggm96zoka6","8881"
"xs21_0gbr0f96z3421","8793"
"xs21_0mlhe0eioz32","8748"
"xs21_9f0ccz311d96","8673"
"xs21_gbbo31egoz121","8640"
"xs21_8o1v0rrz0123","8626"
"xs21_wcc0si52z4a953","8623"
"xs21_259e0ehf0cc","8616"
"xs21_xoie0ehrz253","8487"
"xs21_ca1v0rrzw23","8438"
"xs21_g84q952z178b6","8215"
"xs21_g88bbgz1qr221","8162"
"xs21_255m88b96zx123","8134"
"xs21_0ca1u0ooz255d","8104"
"xs21_697o4kozw3543","7925"
"xs21_g8o0uhe0e96z01","7919"
"xs21_ad1e8z311d96","7829"
"xs21_2lmgmmz3201023","7752"
"xs21_gbaab96z1253","7700"
"xs21_ca96z355d96","7692"
"xs21_660u156z69611","7661"
"xs21_6t1e88gzw11dd","7592"
"xs21_651u0eicz2521","7547"
"xs21_0caab96z6953","7490"
"xs21_06996zcid1156","7413"
"xs21_gj1u0oozd543","7383"
"xs21_g88ge93z178b6","7350"
"xs21_65pabob96","7345"
"xs21_4aab88a6zw6952","7325"
"xs21_g88bbgz19ld11","7323"
"xs21_okkmgm96zw66","7270"
"xs21_6996z69d1da","7269"
"xs21_0gjl46z3ege3","7263"
"xs21_259acw8ozx69d11","7259"
"xs21_ca1v0796z311","7224"
"xs21_4a952zad1d96","7212"
"xs21_g4q9bob96z11","7194"
"xs21_69ak8gzx1221eg8gzy51","7142"
"xs21_651uge1dic","7094"
"xs21_259e0uiz02553","7087"
"xs21_gbb88a6z12596","7041"
"xs21_69e0o4oz259701","7019"
"xs21_69b8bq23z033","7008"
"xs21_25a8ciiczw3543","6995"
"xs21_8o0e9jz6b871","6977"
"xs21_4ako0u1u0oozy21","6789"
"xs21_mlhu0ooz1ac","6761"
"xs21_mc1v0rrz011","6727"
"xs21_3lmge96z3421","6653"
"xs21_5b8baa4z2553","6566"
"xs21_69abaa4z2553","6454"
"xs21_2lla8cz343033","6443"
"xs21_69egmicz2552","6417"
"xs21_69ab8brzx311","6406"
"xs21_031e88gz6511dd","6377"
"xs21_697079e0mq","6327"
"xs21_g88ge5hu0ooz011","6269"
"xs21_ml1e8gz1255d","6252"
"xs21_c88gehrz3543","6201"
"xs21_31egmicz062ac","6191"
"xs21_3lkmioz32w66","6162"
"xs21_ciiria4z4aa4","6147"
"xs21_25a8ciicz02553","6140"
"xs21_3lmge93z3421","6138"
"xs21_2552s0siczx643","6120"
"xs21_0g88ci96z6b871","6109"
"xs21_4a96z6511dik8","6091"
"xs21_69b8b96z3213","6086"
"xs21_0mllmz342643","6084"
"xs21_69b88ciczw6511","6081"
"xs21_2lmgml2z346w1","6057"
"xs21_69b8brz03146","6046"
"xs21_3iab8brz0123","6043"
"xs21_3lkicz34aik8","6010"
"xs21_08e1dicz69d11","5994"
"xs21_39eg8ozx122qic","5962"
"xs21_252sgzw4aaq2sg","5961"
"xs21_259q4oz6a87011","5955"
"xs21_3pe0oka6z0643","5908"
"xs21_39e0o4oz259611","5870"
"xs21_651u08oz4aa611","5856"
"xs21_2530fhe0eic","5834"
"xs21_4a60uhe0e96","5824"
"xs21_wggca23qicz2521","5814"
"xs21_0c88ci96z69d11","5671"
"xs21_651u066z69611","5663"
"xs21_356o8z330fio","5631"
"xs21_03hu08oz6aa611","5603"
"xs21_3lmggkcz32w66","5592"
"xs21_8kkm1mkiczx121","5540"
"xs21_4a9egmiczw256","5514"
"xs21_69baicz255d","5506"
"xs21_4a9fgkcz03543","5451"
"xs21_0gwra96z8lld","5398"
"xs21_3lmgm96z346","5383"
"xs21_okiqb96z6a4","5378"
"xs21_0okkmp3zca26","5359"
"xs21_ci970brzw6421","5317"
"xs21_252sgz330fgkc","5297"
"xs21_31egmicz4aa6","5279"
"xs21_w4a96zml553z11","5278"
"xs21_g88b96zh1t6z11","5264"
"xs21_69acz255dik8","5236"
"xs21_69mgmiczxca6","5228"
"xs21_35ic84k8zwdd11","5198"
"xs21_31e88b96zx696","5194"
"xs21_3lkm996z3421","5184"
"xs21_39u06996z0346","5181"
"xs21_35ic0c4ozx11dd","5169"
"xs21_651uge132ac","5148"
"xs21_0ml5q8a6z3421","5144"
"xs21_cc0si52z330346","5123"
"xs21_69ngbrz06421","5117"
"xs21_9f032acz3553","5116"
"xs21_69ac0siczw653","5102"
"xs21_3lk2qcz343032","5087"
"xs21_4a960uiz65113","5059"
"xs21_0g8e1t6z8ld11","5053"
"xs21_025a4z69d1d96","5010"
"xs21_0gilligoz32w66","5008"
"xs21_0g6t1uge2z321","4988"
"xs21_cid1e8gzw11dd","4919"
"xs21_25ac0si6z06513","4908"
"xs21_cimgml2z4a6w1","4900"
"xs21_651u8zy0dd1e8","4833"
"xs21_2560u2koz03543","4828"
"xs21_3lkkmicz01w66","4802"
"xs21_caabqicz352","4799"
"xs21_2eg6ll2z03543","4798"
"xs21_33gv18kczx346","4770"
"xs21_4a9bqicz039c","4765"
"xs21_259mgmp3zx66","4764"
"xs21_69ak8gzx122dkk8","4752"
"xs21_4s0v1ooz3543","4742"
"xs21_69riicz32ac","4721"
"xs21_0ml1u0uiz1221","4709"
"xs21_0g08u156z8lld","4707"
"xs21_0cilmz622qq1","4616"
"xs21_wg8k46164koz6521","4600"
"xs21_39e0u2kozw643","4565"
"xs21_259mgmiczw4a6","4563"
"xs21_696o8gzx122dik8","4549"
"xs21_gbaabq23z123","4528"
"xs21_3lk453z34a96","4525"
"xs21_3lm0ep3z32011","4483"
"xs21_69ak8g0s252zx1221","4481"
"xs21_c9b8b96z3113","4478"
"xs21_4a9e0uiczw253","4477"
"xs21_0gjlmz32w69ic","4475"
"xs21_39c0ccz69d113","4464"
"xs21_3p6gma4z3543","4452"
"xs21_4a60u1t6zw6221","4433"
"xs21_4airiicz6226","4428"
"xs21_03lkkmicz25201","4412"
"xs21_39mgmicz0ca6","4402"
"xs21_0c4o0ehrzc871","4398"
"xs21_g88b96zdl913","4394"
"xs21_0oo0o8brz4aa6","4376"
"xs21_0ml5a4oz344311","4375"
"xs21_025t2sgz330343","4373"
"xs21_0gil5q4oz3443w1","4362"
"xs21_031e88gz69ld11","4315"
"xs21_5b8b9a4z2553","4314"
"xs21_0g8ob96z2fgkc","4313"
"xs21_g88bbgz178jd","4298"
"xs21_4a9ba96z2553","4288"
"xs21_69argbqic","4285"
"xs21_69f0v1oozx23","4278"
"xs21_2lligz32w23ck8","4276"
"xs21_651u08oz4a9521","4264"
"xs21_g8e1uge2z1253","4263"
"xs21_c88b96z311db","4258"
"xs21_39u0u2sgzw123","4252"
"xs21_db8bqicz33","4249"
"xs21_4aaba96z2553","4245"
"xs21_caabaicz06511","4238"
"xs21_4aab88brzx33","4230"
"xs21_0db8b96z6513","4227"
"xs21_39u0u93z03421","4192"
"xs21_g8g0bdz121079ko","4152"
"xs21_069baiczca511","4146"
"xs21_0h7o7picz321","4112"
"xs21_o4id1ego8a6z01","4102"
"xs21_0caab9cz65123","4045"
"xs21_0cimge13z62ac","4035"
"xs21_0oo0e9jz4aa611","4025"
"xs21_cimgm93zca6","4024"
"xs21_259akggzy01023cko","4017"
"xs21_0ci5lmz32101252","4000"
"xs21_035a8cz6513156","3996"
"xs21_c88bb8oz06996","3996"
"xs21_69d2cgc2d96","3989"
"xs21_db8b96z3156","3962"
"xs21_2lm0e96zw3453","3926"
"xs21_md1e8gz17871","3924"
"xs21_gbb88gz178jd","3923"
"xs21_4a9bap56z033","3888"
"xs21_69abaarzx311","3868"
"xs21_md1e8gz1255d","3866"
"xs21_c84q23z3303453","3861"
"xs21_4airiicz04aa4","3855"
"xs21_ad1e8gz311dd","3855"
"xs21_4aab8b5z2553","3849"
"xs21_g88bp453z178c","3845"
"xs21_252s0si6zw3543","3835"
"xs21_g88ci96z178b6","3819"
"xs21_069baik8zc871","3774"
"xs21_wggcip6426z2543","3752"
"xs21_08u1lmz4ab43","3738"
"xs21_259aczw8e1d96","3735"
"xs21_69b8bdz2553","3733"
"xs21_6a88bqicz0352","3729"
"xs21_g88b9qb8oz123","3719"
"xs21_69baarz2552","3711"
"xs21_02lmgmicz65201","3710"
"xs21_35a8c8a6zw4a96","3680"
"xs21_wcp3qicz6a43","3665"
"xs21_g88brz123cik8","3654"
"xs21_69ar2qb96","3643"
"xs21_259ar0vh23","3624"
"xs21_69mgmicz6226","3624"
"xs21_2lmgeioz3443","3614"
"xs21_69ac0s4z69d11","3612"
"xs21_gbb8brz0db","3595"
"xs21_178nhe0e96","3585"
"xs21_069b871zca513","3560"
"xs21_069b88gz359d11","3560"
"xs21_0354kl3zoge221","3555"
"xs21_39u066z643033","3554"
"xs21_4ac0si96z6513","3551"
"xs21_ca9e0eicz352","3544"
"xs21_6996kicz03543","3537"
"xs21_2lla8a6zw3453","3528"
"xs21_o8br0rrzw23","3521"
"xs21_g8e1eoz0d55d","3519"
"xs21_wg8hf0ciicz2521","3507"
"xs21_db8b96z3552","3499"
"xs21_6is0si53z643","3485"
"xs21_0gillmz346w252","3474"
"xs21_69mggm952zw66","3472"
"xs21_2560u1t6zw6221","3470"
"xs21_2530fhe0e96","3451"
"xs21_354lb8oz4a611","3399"
"xs21_cc0s2pmz3543","3379"
"xs21_8u1j4k8zc9611","3371"
"xs21_3lkk8gz1qq221","3323"
"xs21_69ab8brzx321","3315"
"xs21_0g06996z8ll913","3309"
"xs21_0mllmz346065","3296"
"xs21_25ak8zciq22ac","3266"
"xs21_25a8cz355d96","3265"
"xs21_g88baicz1255d","3251"
"xs21_c9jz3lk453z011","3240"
"xs21_cimkiarz066","3235"
"xs21_6a88baarzx33","3232"
"xs21_3lmgmicz1226","3207"
"xs21_69ar2qj96","3203"
"xs21_354s0ccz330346","3201"
"xs21_4a9egmaz03543","3189"
"xs21_4a9fgkcz2553","3180"
"xs21_g0696zdll913","3178"
"xs21_j1u0mmz11w343","3176"
"xs21_39u0mp3z643","3169"
"xs21_0bdgeiczca43","3159"
"xs21_g88mhrz11x6aa4","3144"
"xs21_0gilmzbmge21","3132"
"xs21_2lla8cz3201156","3124"
"xs21_69ab9a4z2553","3124"
"xs21_0mp3s4oz124701","3109"
"xs21_0g8ehv04aa4z121","3094"
"xs21_ciar0rdzx321","3086"
"xs21_xoie0e952z653","3083"
"xs21_mmgmk13z1w643","3077"
"xs21_3pmgmik8zx66","3045"
"xs21_69b88brzw652","3045"
"xs21_y1g8ge13zg8o6521z11","3028"
"xs21_6t1e8z116996","3022"
"xs21_oo1v0cicz6221","3013"
"xs21_0g8e1t6z1255d","3002"
"xs21_09f0s4ozc97011","2991"
"xs21_4aabk46z255d","2966"
"xs21_0ciqj96z62ac","2965"
"xs21_xg8hf0ca4zca611","2960"
"xs21_3lkkm96z346","2959"
"xs21_cit1eoz0c871","2957"
"xs21_259egm96zw643","2953"
"xs21_0gbap3qicz121","2944"
"xs21_0mllmz32w696","2944"
"xs21_gbbo79k8z1221","2943"
"xs21_0gjlmz34aaq1","2942"
"xs21_0o4q952z178b6","2942"
"xs21_69ligzw2egnc","2942"
"xs21_br0raicz01221","2939"
"xs21_wcimge13zca26","2934"
"xs21_xca52z2ll552z011","2932"
"xs21_ca9bqicz352","2921"
"xs21_25akgozx622qic","2920"
"xs21_4s0v9z11078a6","2912"
"xs21_354mggs26zw346","2873"
"xs21_0gilmzo5o643z01","2871"
"xs21_660u93z39c32","2858"
"xs21_0mligz346069k8","2833"
"xs21_j1u0uiz11x346","2830"
"xs21_0g88m552z8lld","2825"
"xs21_0ggm552z3ege3","2820"
"xs21_cic0v1oozw643","2820"
"xs21_04aab9a4z4a513","2810"
"xs21_252s0si6z3543","2810"
"xs21_8kkm1u0oozx123","2807"
"xs21_g88mlicz178d","2787"
"xs21_xg88bp453z4a611","2774"
"xs21_35a88b96zx696","2772"
"xs21_w9v0ciicz6521","2771"
"xs21_6996o8zx6bge2","2767"
"xs21_259mggkczwcia4","2760"
"xs21_08o0ehu0652z321","2759"
"xs21_0okid1e8z4aa6","2735"
"xs21_g08u156zdll8","2728"
"xs21_0caabqicz253","2727"
"xs21_069mggz8kic543","2725"
"xs21_0mkhfgkcz1243","2718"
"xs21_cimgm952z4a6","2717"
"xs21_25a88b96zw4a96","2713"
"xs21_3pmggmiczx66","2687"
"xs21_4s0cp3zw122qic","2687"
"xs21_xg88ge1e8z4a9611","2685"
"xs21_69b8b9czw653","2681"
"xs21_mll2z124b871","2680"
"xs21_33gv1qb96","2679"
"xs21_ca9baicz06511","2676"
"xs21_9v0s4ozc9611","2675"
"xs21_4a60uhe0eic","2664"
"xs21_0cq1e8gz321e91","2662"
"xs21_0g6p7ojdz321","2650"
"xs21_0gbhe0ehrz121","2648"
"xs21_g8e1t6z11dl8","2627"
"xs21_8u1v0j3z23w11","2617"
"xs21_0cai3z4a430e93","2601"
"xs21_2lligz3ege21","2601"
"xs21_gbb8bp46z123","2599"
"xs21_gg0si52zdlge2","2588"
"xs21_g39u0oozd543","2581"
"xs21_0mp3qicz3443","2572"
"xs21_69egmmz653w1","2570"
"xs21_69b8b9czx356","2567"
"xs21_69b8bdz6513","2567"
"xs21_g88r3objoz11","2567"
"xs21_ca5lmz330343","2561"
"xs21_w69aczml552z11","2553"
"xs21_02lmggzok96243","2549"
"xs21_g88ml56zd543","2543"
"xs21_c8861t6zc8711","2539"
"xs21_69akggmiczx146","2538"
"xs21_wgbbob96z2521","2513"
"xs21_0ca96z255dik8","2500"
"xs21_069b8brz3113","2492"
"xs21_4aab88a6zw2596","2486"
"xs21_gj1u0uiz11074","2483"
"xs21_gjlk453z1w696","2473"
"xs21_oo0o8brz6aa4","2469"
"xs21_0gill2z32w23ck8","2457"
"xs21_o4s0fpz0d871","2447"
"xs21_33gv1eoz03421","2433"
"xs21_69icw8kczxdd11","2429"
"xs21_02596z651315ac","2424"
"xs21_8kkmhrz4aa6","2424"
"xs21_8e1e8gzdj871","2421"
"xs21_69iczx1138n96","2403"
"xs21_69960uh32ac","2398"
"xs21_2lligz34aaq1","2396"
"xs21_caab9arzw33","2395"
"xs21_69b88gz69lp1","2379"
"xs21_2eg6licz03543","2358"
"xs21_0g8o696z6bgf2","2357"
"xs21_m2s0v9z11w346","2350"
"xs21_ojaaczx1784ko","2345"
"xs21_039u0eicz6521","2344"
"xs21_c88ml96z3543","2342"
"xs21_0mkk871z1qaa4","2341"
"xs21_xmm0e952zca43","2326"
"xs21_4a51u0oozx178c","2322"
"xs21_mlhe8gz1245d","2318"
"xs21_g8e1t6zc95d","2309"
"xs21_3hu0uh3zw343","2294"
"xs21_178b9acz02553","2291"
"xs21_6ac0v1oozw643","2289"
"xs21_0jhkmz32w69ic","2284"
"xs21_8kaar2qrzw11","2281"
"xs21_0ggc97079a4z321","2275"
"xs21_c88ml56z3543","2275"
"xs21_ca9lmz311643","2275"
"xs21_mk1v0rrz101","2274"
"xs21_0ciab96zoge3","2272"
"xs21_08e1ticz6953","2268"
"xs21_02596z69d115a4","2253"
"xs21_3lkkl3z01w34a4","2251"
"xs21_3lkm2sgz3443","2251"
"xs21_ckgilicz4aa6","2241"
"xs21_69b88bdzw2552","2236"
"xs21_0c88brz69l91","2222"
"xs21_259mggzx2egnc","2222"
"xs21_g6p7objoz11","2218"
"xs21_069mkk8zca2ac","2217"
"xs21_256o8gzwok87066","2209"
"xs21_08e1lmzc970121","2204"
"xs21_ca2s0ggca52zx1221","2204"
"xs21_069a4z355d952","2201"
"xs21_178b96zca513","2200"
"xs21_6t1aczwdd113","2195"
"xs21_0gilmzju0643","2194"
"xs21_35ao4oz6a87011","2186"
"xs21_03lkkl3z25a401","2185"
"xs21_25a8c8a53zx696","2185"
"xs21_0gbr0fhoz3421","2168"
"xs21_39s0s4oz0c9611","2168"
"xs21_25a8czw355d96","2163"
"xs21_03lkk8zcnge2","2156"
"xs21_0oe1lmz4ab43","2155"
"xs21_4a96z6519lic","2153"
"xs21_31248c8a6zx6996","2143"
"xs21_69bo3qiczw23","2139"
"xs21_25akggkczwciic","2133"
"xs21_6a88brz035ac","2133"
"xs21_3p6ge2zw1169a4","2121"
"xs21_cc0v1qrz311","2118"
"xs21_ohf84oz6a871","2116"
"xs21_04aabgzg8o6521z11","2105"
"xs21_c4o0ehrz6ip","2096"
"xs21_0gilmz1amge3","2095"
"xs21_8kkjqiczwcic","2094"
"xs21_0bd0uicz2553","2090"
"xs21_0mligz122cgnc","2088"
"xs21_259aczxgjl96zx1","2082"
"xs21_8e1v0si6z311","2071"
"xs21_6996z03h1t6zw11","2066"
